join,name,ye
272120,MINNETONKA W-2 P-A,4
272210,MINNETONKA W-4 P-F,4
272250,MOUND P-1,4
272255,MOUND P-2,4
272295,NEW HOPE P-02,4
272355,ORONO P-01,4
272485,PLYMOUTH W-4 P-18,4
272585,RICHFIELD W-1 P-05,4
272600,RICHFIELD W-2 P-07,4
300010,BRADFORD TWP,4
330070,MORA,4
340030,DOVRE TWP.,4
340055,GREEN LAKE TWP.,4
340180,WILLMAR W-1 P-2,4
340190,WILLMAR W-2 P-1,4
430040,GLENCOE CITY P-3,4
450275,WARREN,4
470050,DASSEL,4
470055,DASSEL TWP.,4
470105,LITCHFIELD W-1,4
470125,LITCHFIELD W-5,4
480010,BOGUS BROOK TWP.,4
500020,AUSTIN W-1 P-2,4
520085,NORTH MANKATO P-4,4
550085,ORONOCO TWP.,4
550122,ROCHESTER W2 P1,4
550134,ROCHESTER W2 P7,4
550162,ROCHESTER W4 P5,4
550174,ROCHESTER W5 P2,4
550194,ROCHESTER W6 P1,4
550210,ROCHESTER TWP P-1,4
550225,STEWARTVILLE,4
560180,FERGUS FALLS W-2 P-1,4
560205,FERGUS FALLS W-4 P-2,4
580175,PINE CITY,4
590080,PIPESTONE PRECINCT 2,4
620030,ARDEN HILLS P-3,4
620090,LAUDERDALE P-1,4
620120,LITTLE CANADA P-3,4
620150,MAPLEWOOD P-03,4
620220,MAPLEWOOD P-10,4
620250,MAPLEWOOD P-13,4
620290,MOUNDS VIEW P-1,4
620300,MOUNDS VIEW P-2,4
620320,MOUNDS VIEW P-4,4
620410,NORTH ST. PAUL P-3,4
620420,NORTH ST. PAUL P-4,4
620470,ROSEVILLE P-05,4
620500,ROSEVILLE P-08,4
620520,ROSEVILLE P-10,4
